Date&StateName,Date&StateAbbr,Date,StateName,StateAbbr,PositiveTestCumm,NegativeTestCumm,TestAdminCumm,DeathsCumm,NewPosTest,NewNegTest,NewTestAdmin,NewDeaths,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Pop2020,density_p sq mi,UnemplRate2019,UnemplRateFeb2020,UnemplRateMar2020,UnemplMarvs19,UnemplMarvsFeb,MedianAge,StayAtHome_EffDate,NonEssBizClosure_EffDate,SchoolClosure_EffDate,StayAtHome_DaysSinceEff,NonEssBizClosure_DaysSinceEff,SchoolClosure_DaysSinceEff, PositiveTestCummPCT_ofTestAdmin , NegativeTestCummPCT_ofTestAdmin , DeathsCummPCT_ofTestAdmin , StatesLessThan10Deaths , DeathsLessMore10 ,DateReached10Deaths,DaysSince10DeathsCumm
43891Alaska,43891AK,3/1/2020,Alaska,AK,0,0,0,0,0,0,0,0,18,14,6,16,5,-1,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-27,-19,-12, -   , -   , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43892Alaska,43892AK,3/2/2020,Alaska,AK,0,0,0,0,0,0,0,0,6,6,4,6,1,0,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-26,-18,-11, -   , -   , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43893Alaska,43893AK,3/3/2020,Alaska,AK,0,0,0,0,0,0,0,0,11,9,-2,3,3,0,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-25,-17,-10, -   , -   , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43894Alaska,43894AK,3/4/2020,Alaska,AK,0,0,0,0,0,0,0,0,11,8,3,8,3,0,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-24,-16,-9, -   , -   , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43895Alaska,43895AK,3/5/2020,Alaska,AK,0,0,0,0,0,0,0,0,9,7,9,4,2,0,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-23,-15,-8, -   , -   , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43896Alaska,43896AK,3/6/2020,Alaska,AK,0,8,8,0,0,8,8,0,9,4,10,9,0,1,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-22,-14,-7, -   , 1.00 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43897Alaska,43897AK,3/7/2020,Alaska,AK,0,12,12,0,0,4,4,0,12,10,17,9,3,-1,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-21,-13,-6, -   , 1.00 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43898Alaska,43898AK,3/8/2020,Alaska,AK,0,14,14,0,0,2,2,0,13,8,34,9,2,-1,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-20,-12,-5, -   , 1.00 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43899Alaska,43899AK,3/9/2020,Alaska,AK,0,23,23,0,0,9,9,0,7,4,14,3,-10,2,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-19,-11,-4, -   , 1.00 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43900Alaska,43900AK,3/10/2020,Alaska,AK,0,23,23,0,0,0,0,0,13,6,11,2,-7,2,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-18,-10,-3, -   , 1.00 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43901Alaska,43901AK,3/11/2020,Alaska,AK,0,46,46,0,0,23,23,0,12,9,16,3,-8,2,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-17,-9,-2, -   , 1.00 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43902Alaska,43902AK,3/12/2020,Alaska,AK,0,46,46,0,0,0,0,0,12,19,21,-1,-9,2,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-16,-8,-1, -   , 1.00 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43903Alaska,43903AK,3/13/2020,Alaska,AK,1,59,60,0,1,13,14,0,7,19,16,0,-10,3,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-15,-7,0, 0.02 , 0.98 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43904Alaska,43904AK,3/14/2020,Alaska,AK,1,143,144,0,0,84,84,0,0,19,37,1,-1,1,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-14,-6,1, 0.01 , 0.99 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43905Alaska,43905AK,3/15/2020,Alaska,AK,1,143,144,0,0,0,0,0,5,14,58,7,-1,0,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-13,-5,2, 0.01 , 0.99 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43906Alaska,43906AK,3/16/2020,Alaska,AK,1,143,144,0,0,0,0,0,1,20,29,-6,-12,4,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-12,-4,3, 0.01 , 0.99 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43907Alaska,43907AK,3/17/2020,Alaska,AK,3,334,337,0,2,191,193,0,-14,8,12,-12,-15,7,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-11,-3,4, 0.01 , 0.99 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43908Alaska,43908AK,3/18/2020,Alaska,AK,6,406,412,0,3,72,75,0,-19,8,6,-12,-21,9,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-10,-2,5, 0.01 , 0.99 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
43909Alaska,43909AK,3/19/2020,Alaska,AK,6,432,438,0,0,26,26,0,-26,4,15,-21,-25,10,734002,1.2863,6.1,5.8,5.6,-0.5,-0.2,34,3/28/2020,3/20/2020,3/13/2020,-9,-1,6, 0.01 , 0.99 , -   ,Exclude less than 10 Deaths,Less than 10 deaths,Exclude less than 10 Deaths,Exclude less than 10 Deaths
